phase,original,quarantined_to
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_9240.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_9240.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_9588.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_9588.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\cats\ms_6204.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\cats\ms_6204.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\ms_8736.jpg,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\ms_8736.jpg
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0000_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0000_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0001_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0001_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0002_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0002_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0003_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0003_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0004_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0004_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0005_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0005_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0006_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0006_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0007_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0007_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0008_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0008_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0009_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0009_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0010_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0010_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0011_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0011_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0012_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0012_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0013_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0013_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0014_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0014_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0015_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0015_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0016_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0016_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0017_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0017_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0018_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0018_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0019_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0019_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0020_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0020_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0021_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0021_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0022_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0022_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0023_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0023_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0024_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0024_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0025_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0025_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0026_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0026_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0027_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0027_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0028_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0028_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0029_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0029_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0030_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0030_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0031_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0031_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0032_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0032_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0033_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0033_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0034_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0034_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0035_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0035_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0036_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0036_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0037_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0037_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0038_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0038_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0039_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0039_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0040_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0040_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0041_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0041_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0042_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0042_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0043_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0043_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0044_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0044_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0045_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0045_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0046_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0046_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0047_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0047_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0048_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0048_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0049_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0049_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0050_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0050_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0051_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0051_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0052_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0052_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0053_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0053_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0054_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0054_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0055_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0055_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0056_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0056_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0057_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0057_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0058_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0058_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0059_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0059_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0060_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0060_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0061_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0061_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0062_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0062_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0063_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0063_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0064_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0064_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0065_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0065_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0066_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0066_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0067_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0067_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0068_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0068_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0069_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0069_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0070_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0070_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0071_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0071_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0072_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0072_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0073_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0073_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0074_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0074_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0075_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0075_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0076_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0076_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0077_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0077_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0078_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0078_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0079_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0079_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0080_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0080_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0081_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0081_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0082_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0082_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0083_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0083_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0084_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0084_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0085_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0085_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0086_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0086_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0087_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0087_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0088_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0088_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0089_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0089_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0090_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0090_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0091_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0091_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0092_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0092_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0093_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0093_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0094_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0094_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0095_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0095_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0096_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0096_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0097_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0097_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0098_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0098_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0099_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0099_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0100_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0100_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0101_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0101_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0102_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0102_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0103_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0103_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0104_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0104_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0105_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0105_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0106_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0106_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0107_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0107_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0108_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0108_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0109_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0109_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0110_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0110_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0111_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0111_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0112_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0112_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0113_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0113_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0114_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0114_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0115_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0115_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0116_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0116_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0117_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0117_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0118_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0118_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0119_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0119_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0120_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0120_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0121_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0121_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0122_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0122_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0123_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0123_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0124_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0124_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0125_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0125_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0126_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0126_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0127_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0127_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0128_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0128_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0129_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0129_1.png
byte_identical,F:\Projects\AnimalClassification\data\prepared\dogs\afhq_0130_1.png,F:\Projects\AnimalClassification\data\_duplicates_quarantine\20260304_113007\dogs\afhq_0130_1.png
